,cum_infections,cum_symptomatic,cum_severe,cum_critical,cum_deaths
0,100.0,0.0,0.0,0.0,0.0
1,100.0,0.0,0.0,0.0,0.0
2,102.4,0.9,0.0,0.0,0.0
3,115.5,5.8,0.0,0.0,0.0
4,138.2,17.6,0.0,0.0,0.0
5,170.4,34.2,0.1,0.0,0.0
6,200.5,48.6,0.4,0.0,0.0
7,233.3,60.2,1.0,0.1,0.0
8,266.1,73.3,1.5,0.3,0.0
9,305.3,87.7,2.2,0.5,0.0
10,351.8,108.3,2.6,0.5,0.0
11,403.6,127.5,3.7,0.7,0.0
12,458.0,149.7,4.3,0.8,0.0
13,522.1,173.0,5.7,1.1,0.0
14,599.1,201.4,7.1,1.6,0.0
15,684.4,231.5,8.8,2.0,0.0
16,770.4,264.4,10.1,2.4,0.0
17,877.3,301.1,11.8,2.7,0.0
18,986.7,344.3,13.1,3.1,0.0
19,1113.1,392.3,14.9,3.4,0.0
20,1258.6,447.5,17.2,3.9,0.1
21,1414.8,506.1,20.8,5.1,0.2
22,1593.6,571.9,23.6,5.9,0.2
23,1793.7,647.5,27.7,6.9,0.3
24,2028.3,731.4,31.5,8.7,0.4
25,2280.8,826.5,37.6,10.8,0.5
26,2560.9,933.3,42.9,12.2,0.5
27,2868.7,1051.1,48.6,13.3,0.6
28,3215.8,1185.4,56.3,15.9,1.1
29,3614.9,1333.6,63.9,18.8,1.4
30,4037.3,1504.0,71.9,21.1,1.7
31,4504.5,1682.4,81.6,23.9,1.9
32,5016.1,1884.0,90.6,27.0,2.2
33,5592.8,2118.7,102.4,30.2,3.1
34,6220.2,2375.8,116.3,33.1,3.3
35,6901.5,2661.9,131.2,37.6,3.9
36,7637.2,2970.3,146.3,40.9,4.5
37,8437.3,3313.0,164.7,44.9,4.9
38,9303.6,3690.5,184.4,49.9,5.6
39,10221.7,4111.1,206.9,56.2,6.3
40,11192.2,4561.8,231.2,63.0,7.2
41,12215.2,5054.4,258.5,70.5,8.4
42,13304.5,5591.5,286.1,79.3,9.7
43,14452.0,6169.4,317.5,87.9,11.3
44,15632.2,6776.0,351.0,97.2,12.8
45,16828.1,7431.2,386.7,108.0,14.1
46,18067.5,8122.1,426.7,118.4,16.7
47,19335.3,8852.8,470.3,131.0,18.3
48,20604.3,9627.5,520.1,146.2,20.6
49,21885.1,10404.5,570.5,161.2,22.4
50,23155.8,11225.4,621.3,178.4,24.5
51,24424.1,12058.1,681.1,192.9,28.0
52,25624.2,12906.4,744.1,209.6,32.4
53,26799.4,13776.4,808.6,227.3,36.0
54,27935.8,14644.8,870.8,248.3,40.2
55,29022.7,15520.6,940.2,269.6,44.6
56,30061.2,16393.8,1013.7,292.5,49.6
57,31042.5,17227.6,1090.4,316.4,53.8
58,31958.1,18045.4,1166.0,339.4,59.1
59,32812.0,18836.0,1239.4,363.9,65.0
60,33592.9,19595.3,1317.1,385.2,73.0
61,34330.3,20324.6,1395.3,413.0,80.6
62,34984.4,21014.4,1464.8,437.7,87.7
63,35589.3,21672.7,1539.4,459.3,96.1
64,36157.2,22283.3,1610.4,487.6,104.5
65,36659.3,22845.0,1686.6,510.0,111.4
66,37120.0,23378.9,1752.8,536.2,119.6
67,37532.6,23854.6,1816.3,559.2,129.2
68,37905.2,24297.4,1880.1,582.4,139.1
69,38246.0,24705.7,1942.1,606.4,146.7
70,38543.2,25081.8,1997.9,626.6,156.0
71,38808.4,25413.9,2050.9,648.1,166.2
72,39042.1,25713.2,2101.8,665.7,177.1
73,39259.5,25985.1,2150.5,686.0,186.7
74,39446.9,26231.1,2195.3,702.1,197.3
75,39624.4,26453.4,2236.7,719.0,208.5
76,39774.5,26653.1,2276.1,733.0,219.7
77,39917.4,26825.6,2312.7,747.6,230.1
78,40039.2,26981.0,2344.6,762.1,240.3
79,40147.1,27120.0,2375.5,774.5,248.9
80,40245.1,27245.4,2402.3,786.8,260.0
81,40334.0,27358.9,2423.8,796.6,269.6
82,40412.0,27459.6,2448.5,805.8,279.2
83,40486.7,27548.8,2470.9,815.6,287.2
84,40545.5,27629.6,2489.3,824.3,293.5
