,cum_infections_w1,cum_infections_w2,cum_infections_w3,cum_infections_w4,cum_infections_w5,cum_infections_w6,cum_infections_w7,cum_infections_w8,cum_infections_w9,cum_infections_w10,cum_infections_w11,cum_infections_w12,cum_infections_w13,cum_symptomatic_w1,cum_symptomatic_w2,cum_symptomatic_w3,cum_symptomatic_w4,cum_symptomatic_w5,cum_symptomatic_w6,cum_symptomatic_w7,cum_symptomatic_w8,cum_symptomatic_w9,cum_symptomatic_w10,cum_symptomatic_w11,cum_symptomatic_w12,cum_symptomatic_w13,cum_severe_w1,cum_severe_w2,cum_severe_w3,cum_severe_w4,cum_severe_w5,cum_severe_w6,cum_severe_w7,cum_severe_w8,cum_severe_w9,cum_severe_w10,cum_severe_w11,cum_severe_w12,cum_severe_w13,cum_critical_w1,cum_critical_w2,cum_critical_w3,cum_critical_w4,cum_critical_w5,cum_critical_w6,cum_critical_w7,cum_critical_w8,cum_critical_w9,cum_critical_w10,cum_critical_w11,cum_critical_w12,cum_critical_w13,cum_deaths_w1,cum_deaths_w2,cum_deaths_w3,cum_deaths_w4,cum_deaths_w5,cum_deaths_w6,cum_deaths_w7,cum_deaths_w8,cum_deaths_w9,cum_deaths_w10,cum_deaths_w11,cum_deaths_w12,cum_deaths_w13,quar_period,intervention,n_days,pop_type,pop_size,pop_infected,location
0,100.0,228.0,659.0,1695.0,3942.0,8584.0,15973.0,25061.0,32660.0,37098.0,39241.0,40163.0,40584.0,0.0,55.0,218.0,577.0,1437.0,3266.0,6876.0,12330.0,18481.0,23220.0,25847.0,27108.0,27676.0,0.0,1.0,6.0,20.0,65.0,157.0,349.0,683.0,1117.0,1676.0,2081.0,2328.0,2452.0,0.0,1.0,3.0,6.0,17.0,55.0,97.0,195.0,322.0,491.0,660.0,752.0,810.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,27.0,60.0,111.0,168.0,241.0,307.0,14,Baseline,84,hybrid,50000,100,UK
1,100.0,256.0,577.0,1236.0,2652.0,5580.0,10996.0,18862.0,27389.0,33819.0,37548.0,39387.0,40206.0,0.0,64.0,207.0,480.0,1022.0,2177.0,4562.0,8714.0,14400.0,20031.0,24027.0,26262.0,27317.0,0.0,0.0,8.0,18.0,58.0,109.0,221.0,452.0,862.0,1375.0,1864.0,2245.0,2476.0,0.0,0.0,1.0,6.0,21.0,35.0,68.0,147.0,264.0,429.0,596.0,731.0,820.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,22.0,52.0,100.0,157.0,223.0,305.0,14,Baseline,84,hybrid,50000,100,UK
2,100.0,216.0,513.0,1150.0,2462.0,5392.0,10874.0,19386.0,28150.0,34609.0,38203.0,39848.0,40640.0,0.0,65.0,176.0,446.0,938.0,2081.0,4420.0,8655.0,14746.0,20543.0,24574.0,26685.0,27675.0,0.0,1.0,7.0,16.0,39.0,98.0,211.0,434.0,827.0,1375.0,1881.0,2258.0,2468.0,0.0,0.0,2.0,4.0,14.0,31.0,63.0,127.0,237.0,392.0,571.0,723.0,808.0,0.0,0.0,0.0,0.0,2.0,5.0,12.0,18.0,39.0,72.0,133.0,203.0,272.0,14,Baseline,84,hybrid,50000,100,UK
3,100.0,184.0,452.0,989.0,2290.0,5033.0,10264.0,18356.0,27158.0,33911.0,37713.0,39514.0,40372.0,0.0,62.0,164.0,380.0,827.0,1922.0,4156.0,8204.0,14018.0,19875.0,24121.0,26374.0,27446.0,0.0,1.0,11.0,24.0,46.0,105.0,227.0,439.0,845.0,1363.0,1849.0,2214.0,2427.0,0.0,0.0,4.0,8.0,14.0,28.0,59.0,115.0,230.0,379.0,552.0,697.0,787.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,13.0,30.0,74.0,133.0,203.0,265.0,14,Baseline,84,hybrid,50000,100,UK
4,100.0,242.0,605.0,1458.0,3254.0,6905.0,13314.0,22235.0,30531.0,35950.0,38819.0,40165.0,40751.0,0.0,58.0,224.0,494.0,1216.0,2715.0,5636.0,10450.0,16635.0,21996.0,25284.0,26938.0,27725.0,0.0,1.0,6.0,22.0,54.0,126.0,287.0,589.0,1037.0,1559.0,2009.0,2325.0,2504.0,0.0,0.0,2.0,7.0,18.0,43.0,90.0,172.0,306.0,467.0,617.0,749.0,832.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,26.0,53.0,103.0,162.0,235.0,288.0,14,Baseline,84,hybrid,50000,100,UK
5,100.0,251.0,620.0,1347.0,3043.0,6457.0,12693.0,21220.0,29506.0,35169.0,38277.0,39710.0,40381.0,0.0,63.0,207.0,485.0,1120.0,2475.0,5172.0,9961.0,15955.0,21243.0,24826.0,26625.0,27513.0,0.0,2.0,8.0,19.0,63.0,130.0,285.0,567.0,1029.0,1600.0,2049.0,2332.0,2508.0,0.0,0.0,1.0,6.0,16.0,33.0,71.0,149.0,281.0,454.0,627.0,740.0,817.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,18.0,38.0,83.0,144.0,234.0,283.0,14,Baseline,84,hybrid,50000,100,UK
6,100.0,235.0,604.0,1505.0,3676.0,7881.0,14946.0,23834.0,31763.0,36716.0,39253.0,40375.0,40884.0,0.0,55.0,195.0,520.0,1273.0,3003.0,6350.0,11583.0,17682.0,22703.0,25785.0,27309.0,27919.0,0.0,1.0,4.0,21.0,54.0,131.0,310.0,595.0,1076.0,1584.0,2034.0,2350.0,2484.0,0.0,0.0,2.0,6.0,12.0,31.0,85.0,167.0,309.0,485.0,661.0,769.0,837.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,21.0,49.0,97.0,152.0,219.0,294.0,14,Baseline,84,hybrid,50000,100,UK
7,100.0,242.0,667.0,1582.0,3436.0,7298.0,13920.0,22466.0,30454.0,35748.0,38425.0,39748.0,40359.0,0.0,55.0,212.0,580.0,1308.0,2827.0,5936.0,10880.0,16817.0,21955.0,25164.0,26786.0,27540.0,0.0,0.0,8.0,30.0,71.0,160.0,305.0,604.0,1049.0,1580.0,2052.0,2358.0,2526.0,0.0,0.0,0.0,4.0,16.0,40.0,89.0,167.0,299.0,464.0,632.0,755.0,836.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,27.0,56.0,109.0,174.0,246.0,320.0,14,Baseline,84,hybrid,50000,100,UK
8,100.0,256.0,773.0,1938.0,4611.0,9945.0,18335.0,27342.0,34128.0,37879.0,39603.0,40371.0,40722.0,0.0,64.0,213.0,631.0,1596.0,3810.0,7926.0,13935.0,19885.0,24118.0,26369.0,27366.0,27801.0,0.0,2.0,7.0,22.0,70.0,187.0,413.0,815.0,1336.0,1820.0,2229.0,2442.0,2553.0,0.0,0.0,0.0,2.0,17.0,50.0,109.0,237.0,399.0,570.0,718.0,810.0,859.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,36.0,81.0,136.0,193.0,266.0,319.0,14,Baseline,84,hybrid,50000,100,UK
9,100.0,223.0,521.0,1248.0,2792.0,5940.0,11730.0,20089.0,28873.0,34994.0,38350.0,39893.0,40556.0,0.0,61.0,198.0,468.0,1117.0,2343.0,4881.0,9333.0,15319.0,21043.0,24821.0,26803.0,27684.0,0.0,1.0,6.0,16.0,43.0,109.0,253.0,527.0,959.0,1462.0,1931.0,2275.0,2495.0,0.0,0.0,1.0,2.0,14.0,30.0,62.0,136.0,278.0,462.0,632.0,750.0,837.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,16.0,38.0,76.0,144.0,231.0,282.0,14,Baseline,84,hybrid,50000,100,UK
